(0.0, 0.053)
(0.0, 0.512)
(0.0, 0.0)
(0.01, -1.221)
(0.01, -2.206)
(0.01, -0.02)
(0.02, 0.16)
(0.02, 1.535)
(0.02, 0.0)
(0.03, -1.115)
(0.03, -1.182)
(0.03, -0.02)
(0.04, 0.266)
(0.04, 2.558)
(0.04, 0.0)
(0.05, -1.008)
(0.05, -0.159)
(0.05, -0.02)
(0.06, 0.372)
(0.06, 3.581)
(0.06, 0.0)
(0.07, -0.902)
(0.07, 0.864)
(0.07, -0.02)
(0.08, -2.176)
(0.08, -1.853)
(0.08, -0.04)
(0.09, -0.796)
(0.09, 1.887)
(0.09, -0.02)
(0.1, -2.07)
(0.1, -0.83)
(0.1, -0.04)
(0.11, -0.689)
(0.11, 2.91)
(0.11, -0.02)
(0.12, -1.963)
(0.12, 0.193)
(0.12, -0.04)
(0.13, -0.583)
(0.13, 3.934)
(0.13, -0.02)
(0.14, -1.857)
(0.14, 1.216)
(0.14, -0.04)
(0.15, -3.125)
(0.15, -1.492)
(0.15, -0.06)
(0.16, -1.745)
(0.16, 2.249)
(0.16, -0.04)
(0.17, -3.019)
(0.17, -0.469)
(0.17, -0.06)
(0.18, -1.638)
(0.18, 3.272)
(0.18, -0.04)
(0.19, -2.912)
(0.19, 0.555)
(0.19, -0.06)
(0.2, -1.532)
(0.2, 4.295)
(0.2, -0.04)
(0.21, -2.806)
(0.21, 1.578)
(0.21, -0.06)
(0.22, -3.995)
(0.22, -0.998)
(0.22, -0.078)
(0.23, -2.615)
(0.23, 2.743)
(0.23, -0.058)
(0.24, -3.889)
(0.24, 0.025)
(0.24, -0.078)
(0.25, -2.509)
(0.25, 3.766)
(0.25, -0.058)
(0.26, -3.783)
(0.26, 1.049)
(0.26, -0.078)
(0.27, -2.402)
(0.27, 4.789)
(0.27, -0.058)
(0.28, -3.676)
(0.28, 2.072)
(0.28, -0.078)
(0.29, -4.869)
(0.29, -0.509)
(0.29, -0.097)
(0.3, -3.488)
(0.3, 3.232)
(0.3, -0.077)
(0.31, -4.762)
(0.31, 0.515)
(0.31, -0.097)
(0.32, -3.382)
(0.32, 4.255)
(0.32, -0.077)
(0.33, -4.656)
(0.33, 1.538)
(0.33, -0.097)
(0.34, -3.344)
(0.34, 5.066)
(0.34, -0.078)
(0.35, -4.618)
(0.35, 2.349)
(0.35, -0.098)
(0.36, -5.596)
(0.36, 0.172)
(0.36, -0.113)
(0.37, -4.216)
(0.37, 3.912)
(0.37, -0.093)
(0.38, -5.49)
(0.38, 1.195)
(0.38, -0.113)
(0.39, -4.11)
(0.39, 4.935)
(0.39, -0.093)
(0.4, -5.384)
(0.4, 2.218)
(0.4, -0.113)
(0.41, -5.397)
(0.41, 2.165)
(0.41, -0.113)
(0.42, -5.272)
(0.42, 2.45)
(0.42, -0.111)
(0.43, -5.879)
(0.43, 1.041)
(0.43, -0.121)
(0.44, -4.498)
(0.44, 4.781)
(0.44, -0.101)
(0.45, -5.773)
(0.45, 2.064)
(0.45, -0.121)
(0.46, -4.862)
(0.46, 4.433)
(0.46, -0.107)
(0.47, -6.136)
(0.47, 1.716)
(0.47, -0.127)
(0.48, -4.755)
(0.48, 5.457)
(0.48, -0.107)
(0.49, -6.029)
(0.49, 2.739)
(0.49, -0.127)
(0.5, -6.518)
(0.5, 1.587)
(0.5, -0.135)
(0.51, -5.138)
(0.51, 5.327)
(0.51, -0.115)
(0.52, -6.412)
(0.52, 2.61)
(0.52, -0.135)
(0.53, -6.363)
(0.53, 2.708)
(0.53, -0.134)
(0.54, -6.526)
(0.54, 2.295)
(0.54, -0.136)
(0.55, -5.492)
(0.55, 5.012)
(0.55, -0.121)
(0.56, -6.766)
(0.56, 2.295)
(0.56, -0.141)
(0.57, -5.536)
(0.57, 5.578)
(0.57, -0.123)
(0.58, -6.811)
(0.58, 2.861)
(0.58, -0.143)
(0.59, -6.916)
(0.59, 2.584)
(0.59, -0.145)
(0.6, -6.333)
(0.6, 4.057)
(0.6, -0.136)
(0.61, -7.598)
(0.61, 1.353)
(0.61, -0.156)
(0.62, -6.218)
(0.62, 5.093)
(0.62, -0.136)
(0.63, -7.492)
(0.63, 2.376)
(0.63, -0.156)
(0.64, -6.125)
(0.64, 6.073)
(0.64, -0.136)
(0.65, -7.399)
(0.65, 3.356)
(0.65, -0.156)
(0.66, -7.878)
(0.66, 2.224)
(0.66, -0.164)
(0.67, -6.497)
(0.67, 5.965)
(0.67, -0.144)
(0.68, -7.772)
(0.68, 3.248)
(0.68, -0.164)
(0.69, -7.853)
(0.69, 3.028)
(0.69, -0.165)
(0.7, -7.491)
(0.7, 3.92)
(0.7, -0.159)
(0.71, -8.55)
(0.71, 1.585)
(0.71, -0.176)
(0.72, -7.17)
(0.72, 5.326)
(0.72, -0.156)
(0.73, -8.443)
(0.73, 2.61)
(0.73, -0.176)
(0.74, -7.066)
(0.74, 6.336)
(0.74, -0.156)
(0.75, -8.341)
(0.75, 3.619)
(0.75, -0.176)
(0.76, -8.593)
(0.76, 2.999)
(0.76, -0.18)
(0.77, -7.509)
(0.77, 5.859)
(0.77, -0.164)
(0.78, -8.782)
(0.78, 3.143)
(0.78, -0.184)
(0.79, -7.878)
(0.79, 5.494)
(0.79, -0.17)
(0.8, -9.149)
(0.8, 2.78)
(0.8, -0.19)
(0.81, -7.771)
(0.81, 6.514)
(0.81, -0.17)
(0.82, -9.045)
(0.82, 3.797)
(0.82, -0.19)
(0.83, -9.148)
(0.83, 3.527)
(0.83, -0.192)
(0.84, -8.784)
(0.84, 4.42)
(0.84, -0.186)
(0.85, -9.725)
(0.85, 2.318)
(0.85, -0.201)
(0.86, -8.344)
(0.86, 6.058)
(0.86, -0.181)
(0.87, -9.617)
(0.87, 3.343)
(0.87, -0.201)
(0.88, -8.509)
(0.88, 6.271)
(0.88, -0.185)
(0.89, -9.782)
(0.89, 3.555)
(0.89, -0.205)
(0.9, -8.992)
(0.9, 5.588)
(0.9, -0.193)
(0.91, -10.249)
(0.91, 2.897)
(0.91, -0.213)
(0.92, -8.868)
(0.92, 6.638)
(0.92, -0.193)
(0.93, -10.142)
(0.93, 3.922)
(0.93, -0.213)
(0.94, -9.798)
(0.94, 4.763)
(0.94, -0.208)
(0.95, -10.615)
(0.95, 2.912)
(0.95, -0.22)
(0.96, -9.234)
(0.96, 6.652)
(0.96, -0.2)
(0.97, -10.507)
(0.97, 3.937)
(0.97, -0.22)
(0.98, -9.941)
(0.98, 5.361)
(0.98, -0.212)
(0.99, -11.069)
(0.99, 2.898)
(0.99, -0.229)
(1.0, -9.688)
(1.0, 6.639)
(1.0, -0.209)
(1.01, -10.96)
(1.01, 3.926)
(1.01, -0.229)
(1.02, -10.063)
(1.02, 6.256)
(1.02, -0.216)
(1.03, -11.319)
(1.03, 3.566)
(1.03, -0.236)
(1.04, -9.948)
(1.04, 7.275)
(1.04, -0.216)
(1.05, -11.221)
(1.05, 4.56)
(1.05, -0.236)
(1.06, -11.163)
(1.06, 4.68)
(1.06, -0.235)
(1.07, -11.26)
(1.07, 4.424)
(1.07, -0.236)
(1.08, -11.013)
(1.08, 5.019)
(1.08, -0.233)
(1.09, -11.518)
(1.09, 3.829)
(1.09, -0.24)
(1.1, -10.222)
(1.1, 7.309)
(1.1, -0.221)
(1.11, -11.495)
(1.11, 4.594)
(1.11, -0.241)
(1.12, -11.349)
(1.12, 4.931)
(1.12, -0.239)
(1.13, -11.609)
(1.13, 4.295)
(1.13, -0.243)
(1.14, -10.954)
(1.14, 5.96)
(1.14, -0.233)
(1.15, -12.096)
(1.15, 3.47)
(1.15, -0.251)
(1.16, -10.716)
(1.16, 7.21)
(1.16, -0.231)
(1.17, -11.986)
(1.17, 4.499)
(1.17, -0.251)
(1.18, -11.432)
(1.18, 5.891)
(1.18, -0.243)
(1.19, -12.449)
(1.19, 3.639)
(1.19, -0.259)
(1.2, -11.069)
(1.2, 7.379)
(1.2, -0.239)
(1.21, -12.338)
(1.21, 4.669)
(1.21, -0.259)
(1.22, -11.844)
(1.22, 5.905)
(1.22, -0.251)
(1.23, -12.751)
(1.23, 3.869)
(1.23, -0.265)
(1.24, -11.372)
(1.24, 7.603)
(1.24, -0.245)
(1.25, -12.642)
(1.25, 4.892)
(1.25, -0.265)
(1.26, -12.303)
(1.26, 5.722)
(1.26, -0.26)
(1.27, -12.914)
(1.27, 4.303)
(1.27, -0.269)
(1.28, -11.624)
(1.28, 7.765)
(1.28, -0.251)
(1.29, -12.893)
(1.29, 5.055)
(1.29, -0.271)
(1.3, -12.633)
(1.3, 5.68)
(1.3, -0.267)
(1.31, -13.069)
(1.31, 4.645)
(1.31, -0.273)
(1.32, -12.112)
(1.32, 7.145)
(1.32, -0.259)
(1.33, -13.342)
(1.33, 4.498)
(1.33, -0.278)
(1.34, -12.086)
(1.34, 7.859)
(1.34, -0.26)
(1.35, -13.354)
(1.35, 5.151)
(1.35, -0.28)
(1.36, -12.994)
(1.36, 6.035)
(1.36, -0.275)
(1.37, -13.597)
(1.37, 4.633)
(1.37, -0.284)
(1.38, -12.387)
(1.38, 7.856)
(1.38, -0.266)
(1.39, -13.65)
(1.39, 5.155)
(1.39, -0.286)
(1.4, -13.141)
(1.4, 6.43)
(1.4, -0.279)
(1.41, -13.982)
(1.41, 4.529)
(1.41, -0.291)
(1.42, -12.632)
(1.42, 8.171)
(1.42, -0.272)
(1.43, -13.899)
(1.43, 5.464)
(1.43, -0.292)
(1.44, -13.656)
(1.44, 6.05)
(1.44, -0.288)
(1.45, -14.016)
(1.45, 5.182)
(1.45, -0.294)
(1.46, -13.356)
(1.46, 6.862)
(1.46, -0.284)
(1.47, -14.365)
(1.47, 4.625)
(1.47, -0.299)
(1.48, -13.009)
(1.48, 8.288)
(1.48, -0.28)
(1.49, -14.273)
(1.49, 5.586)
(1.49, -0.3)
(1.5, -14.002)
(1.5, 6.239)
(1.5, -0.295)
(1.51, -14.389)
(1.51, 5.313)
(1.51, -0.301)
(1.52, -13.72)
(1.52, 7.017)
(1.52, -0.291)
(1.53, -14.716)
(1.53, 4.805)
(1.53, -0.307)
(1.54, -13.378)
(1.54, 8.413)
(1.54, -0.287)
(1.55, -14.639)
(1.55, 5.716)
(1.55, -0.307)
(1.56, -14.354)
(1.56, 6.406)
(1.56, -0.303)
(1.57, -14.748)
(1.57, 5.464)
(1.57, -0.309)
(1.58, -14.103)
(1.58, 7.102)
(1.58, -0.299)
(1.59, -15.046)
(1.59, 4.994)
(1.59, -0.314)
(1.6, -13.746)
(1.6, 8.486)
(1.6, -0.295)
(1.61, -15.0)
(1.61, 5.8)
(1.61, -0.315)
(1.62, -14.656)
(1.62, 6.644)
(1.62, -0.309)
(1.63, -15.131)
(1.63, 5.52)
(1.63, -0.317)
(1.64, -14.368)
(1.64, 7.48)
(1.64, -0.305)
(1.65, -15.412)
(1.65, 5.176)
(1.65, -0.322)
(1.66, -14.144)
(1.66, 8.572)
(1.66, -0.303)
(1.67, -15.391)
(1.67, 5.897)
(1.67, -0.323)
(1.68, -14.984)
(1.68, 6.903)
(1.68, -0.317)
(1.69, -15.545)
(1.69, 5.593)
(1.69, -0.325)
(1.7, -14.683)
(1.7, 7.824)
(1.7, -0.313)
(1.71, -15.788)
(1.71, 5.404)
(1.71, -0.33)
